location_code,city,state,country,location_code_parent,country_iso_code,location_type
1020444,"Lee's Summit","Missouri","United States",21157,US,City
1020445,"Leeton","Missouri","United States",21157,US,City
1020446,"Leopold","Missouri","United States",21157,US,City
1020447,"Lesterville","Missouri","United States",21157,US,City
1020448,"Lexington","Missouri","United States",21157,US,City
1020449,"Liberal","Missouri","United States",21157,US,City
1020450,"Liberty","Missouri","United States",21157,US,City
1020451,"Licking","Missouri","United States",21157,US,City
1020452,"Lincoln","Missouri","United States",21157,US,City
1020453,"Linn","Missouri","United States",21157,US,City
1020454,"Linn Creek","Missouri","United States",21157,US,City
1020455,"Linneus","Missouri","United States",21157,US,City
1020456,"Lockwood","Missouri","United States",21157,US,City
1020457,"Lone Jack","Missouri","United States",21157,US,City
1020458,"Lonedell","Missouri","United States",21157,US,City
1020459,"Louisiana","Missouri","United States",21157,US,City
1020460,"Ludlow","Missouri","United States",21157,US,City
1020461,"Macks Creek","Missouri","United States",21157,US,City
1020462,"Macon","Missouri","United States",21157,US,City
1020463,"Madison","Missouri","United States",21157,US,City
1020464,"Maitland","Missouri","United States",21157,US,City
1020465,"Malden","Missouri","United States",21157,US,City
1020466,"Malta Bend","Missouri","United States",21157,US,City
1020467,"Mansfield","Missouri","United States",21157,US,City
1020468,"Marble Hill","Missouri","United States",21157,US,City
1020469,"Marceline","Missouri","United States",21157,US,City
1020470,"Marionville","Missouri","United States",21157,US,City
1020471,"Marquand","Missouri","United States",21157,US,City
1020472,"Marshall","Missouri","United States",21157,US,City
1020473,"Marshfield","Missouri","United States",21157,US,City
1020474,"Marthasville","Missouri","United States",21157,US,City
1020475,"Martinsburg","Missouri","United States",21157,US,City
1020476,"Maryland Heights","Missouri","United States",21157,US,City
1020477,"Maryville","Missouri","United States",21157,US,City
1020478,"Maysville","Missouri","United States",21157,US,City
1020479,"Meadville","Missouri","United States",21157,US,City
1020480,"Memphis","Missouri","United States",21157,US,City
1020481,"Mendon","Missouri","United States",21157,US,City
1020482,"Mercer","Missouri","United States",21157,US,City
1020483,"Mexico","Missouri","United States",21157,US,City
1020484,"Miami","Missouri","United States",21157,US,City
1020485,"Milan","Missouri","United States",21157,US,City
1020486,"Miller","Missouri","United States",21157,US,City
1020487,"Missouri City","Missouri","United States",21157,US,City
1020488,"Moberly","Missouri","United States",21157,US,City
1020489,"Mokane","Missouri","United States",21157,US,City
1020490,"Monett","Missouri","United States",21157,US,City
1020491,"Monroe City","Missouri","United States",21157,US,City
1020492,"Montgomery City","Missouri","United States",21157,US,City
1020493,"Monticello","Missouri","United States",21157,US,City
1020494,"Montrose","Missouri","United States",21157,US,City
1020495,"Morrisville","Missouri","United States",21157,US,City
1020496,"Mound City","Missouri","United States",21157,US,City
1020497,"Mount Vernon","Missouri","United States",21157,US,City
1020498,"Mountain Grove","Missouri","United States",21157,US,City
1020499,"Mountain View","Missouri","United States",21157,US,City
1020500,"Myrtle Township","Missouri","United States",21157,US,Municipality
1020501,"Naylor","Missouri","United States",21157,US,City
1020502,"Neelyville","Missouri","United States",21157,US,City
1020503,"Neosho","Missouri","United States",21157,US,City
1020504,"Nevada","Missouri","United States",21157,US,City
1020505,"New Bloomfield","Missouri","United States",21157,US,City
1020506,"New Cambria","Missouri","United States",21157,US,City
1020507,"New Franklin","Missouri","United States",21157,US,City
1020508,"New Haven","Missouri","United States",21157,US,City
1020509,"New London","Missouri","United States",21157,US,City
1020510,"New Madrid","Missouri","United States",21157,US,City
1020511,"Newburg","Missouri","United States",21157,US,City
1020512,"Newtown","Missouri","United States",21157,US,City
1020513,"Niangua","Missouri","United States",21157,US,City
1020514,"Nixa","Missouri","United States",21157,US,City
